epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2143,2.58198,8.47908,0.0087,0,0,0,0,2.6226,8.85984,0.01042,0.000444533,0.000444533,0.000444533
2,37.1722,2.33347,8.29583,0.00762,0,0,0,0,2.15147,8.29293,0.00846,0.00095069,0.00095069,0.00095069
3,55.7022,2.0879,7.78275,0.00684,0,0,0,0,2.15147,8.29293,0.00846,0.00140184,0.00140184,0.00140184
4,74.5698,1.92418,6.673,0.00589,0,0,0,0,1.26774,7.62697,0.00486,0.00141945,0.00141945,0.00141945
5,94.5219,1.7842,6.61869,0.00522,0,0,0,0,1.22221,7.26812,0.00453,0.00133693,0.00133693,0.00133693
6,113.238,1.81438,6.98514,0.00543,0,0,0,0,1.22221,7.26812,0.00453,0.00125442,0.00125442,0.00125442
7,131.318,1.76203,6.04535,0.00526,0,0,0,0,1.43725,7.29389,0.00543,0.0011719,0.0011719,0.0011719
8,148.657,1.87965,6.34007,0.00574,0,0,0,0,1.33553,7.19227,0.00528,0.00108938,0.00108938,0.00108938
9,166.151,1.83315,5.50269,0.00552,0,0,0,0,1.33553,7.19227,0.00528,0.00100687,0.00100687,0.00100687
10,185.365,1.76421,5.72284,0.00535,0.00151,0.5,0.39332,0.14967,1.53647,7.11252,0.00606,0.000924352,0.000924352,0.000924352
11,204.611,1.81346,7.22673,0.00625,0.00151,0.5,0.39332,0.14967,1.53647,7.11252,0.00606,0.000841835,0.000841835,0.000841835
12,222.779,1.72079,6.86542,0.00649,0.00228,0.53571,0.43054,0.18343,1.63655,6.91394,0.00636,0.000759318,0.000759318,0.000759318
13,241.529,1.77332,6.92582,0.00599,0.00693,0.75,0.53067,0.24729,1.59739,6.66123,0.00622,0.000676802,0.000676802,0.000676802
14,261.579,1.79471,6.76958,0.00593,0.00693,0.75,0.53067,0.24729,1.59739,6.66123,0.00622,0.000594286,0.000594286,0.000594286
15,282.674,1.77097,6.73646,0.00644,0.01218,0.96429,0.59997,0.28637,1.54511,6.36262,0.00612,0.000511769,0.000511769,0.000511769
16,304.849,1.71508,6.62227,0.0067,0.0146,1,0.63054,0.31032,1.47827,6.21417,0.00576,0.000429253,0.000429253,0.000429253
17,328.6,1.65065,6.68363,0.0053,0.0146,1,0.63054,0.31032,1.47827,6.21417,0.00576,0.000346736,0.000346736,0.000346736
18,348.637,1.64681,6.56405,0.00583,0.71546,0.21104,0.64008,0.30804,1.51688,6.01569,0.0059,0.00026422,0.00026422,0.00026422
19,367.423,1.70873,6.58525,0.00573,0.71546,0.21104,0.64008,0.30804,1.51688,6.01569,0.0059,0.000181703,0.000181703,0.000181703
20,385.035,1.64685,6.49411,0.00576,0.76923,0.10714,0.63895,0.30643,1.48015,5.85552,0.0057,9.91865e-05,9.91865e-05,9.91865e-05
